timestamp,user_query,corrected_query,warning_msg,total_recommendations,user_ip
2026-01-30T21:08:31.528569,kopi murah,kopi murah,,3,unknown
2026-01-30T21:08:31.618106,kopi murah,kopi murah,,3,unknown
2026-01-30T21:08:31.675250,kopi murah,kopi murah,,3,unknown
2026-01-30T21:08:33.415836,kopi murah,kopi murah,,3,unknown
2026-01-30T21:08:35.168695,kopi murah,kopi murah,,3,unknown
2026-01-30T21:08:35.633291,kopi murah,kopi murah,,3,unknown
2026-01-30T21:08:35.787007,kopi murah,kopi murah,,3,unknown
2026-01-30T21:09:58.110155,kopi murah,kopi murah,,3,unknown
2026-01-30T21:15:13.159517,kopi murah,kopi murah,,3,unknown
2026-01-30T21:16:15.421284,kopi murah,kopi murah,,3,unknown
2026-01-30T21:16:20.964348,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:16:40.433636,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:17:14.864002,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:18:15.855314,sdfsdf,sdfsdf,,0,unknown
2026-01-30T21:40:56.852845,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:40:58.852862,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:40:59.534938,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:41:37.045875,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:41:38.305096,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:43:18.513153,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T21:44:35.650265,A Place In Between,a place in between,,2,unknown
2026-01-30T21:44:57.595941,A Place In Between,a place in between,,2,unknown
2026-01-30T21:45:05.740781,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:27:10.004845,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:27:38.822742,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:27:39.434912,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:27:48.282646,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:27:55.658821,kopi murah di dgo,kopi murah di dago,,5,unknown
2026-01-30T22:28:05.587984,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:28:23.070397,kopi murah di dgo,kopi murah di dago,,5,unknown
2026-01-30T22:28:42.640277,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:34:17.831056,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:34:32.295998,kopi murah di dgo,kopi murah di dago,,6,unknown
2026-01-30T22:35:29.762022,asdsdasd,asdsdasd,,1,unknown
2026-01-30T22:36:06.367596,kopi murah di dago,kopi murah di dago,,5,unknown
2026-01-30T22:37:31.482437,kopi murah di dago,kopi murah di dago,,5,unknown
